date,time,heartRate
2022-09-12,00:00:15,63
2022-09-12,00:00:30,63
2022-09-12,00:00:45,63
2022-09-12,00:01:00,63
2022-09-12,00:01:15,63
2022-09-12,00:01:30,63
2022-09-12,00:01:45,63
2022-09-12,00:02:00,63
2022-09-12,00:02:15,63
2022-09-12,00:02:30,63
2022-09-12,00:02:45,63
2022-09-12,00:03:00,63
2022-09-12,00:03:15,63
2022-09-12,00:03:30,63
2022-09-12,00:03:45,63
2022-09-12,00:04:00,63
2022-09-12,00:04:15,63
2022-09-12,00:04:30,63
2022-09-12,00:04:45,63
2022-09-12,00:05:00,63
2022-09-12,00:05:15,64
2022-09-12,00:05:30,64
2022-09-12,00:05:45,64
2022-09-12,00:06:00,64
2022-09-12,00:06:15,66
2022-09-12,00:06:30,66
2022-09-12,00:06:45,66
2022-09-12,00:07:00,66
2022-09-12,00:07:15,64
2022-09-12,00:07:30,64
2022-09-12,00:07:45,64
2022-09-12,00:08:00,64
2022-09-12,00:08:15,65
2022-09-12,00:08:30,65
2022-09-12,00:08:45,65
2022-09-12,00:09:00,65
2022-09-12,00:09:15,66
2022-09-12,00:09:30,66
2022-09-12,00:09:45,66
2022-09-12,00:10:00,66
2022-09-12,00:10:15,66
2022-09-12,00:10:30,66
2022-09-12,00:10:45,66
2022-09-12,00:11:00,66
2022-09-12,00:11:15,64
2022-09-12,00:11:30,64
2022-09-12,00:11:45,64
2022-09-12,00:12:00,64
2022-09-12,00:12:15,64
2022-09-12,00:12:30,64
2022-09-12,00:12:45,64
2022-09-12,00:13:00,64
2022-09-12,00:13:15,68
2022-09-12,00:13:30,68
2022-09-12,00:13:45,68
2022-09-12,00:14:00,68
2022-09-12,00:14:15,67
2022-09-12,00:14:30,67
2022-09-12,00:14:45,67
2022-09-12,00:15:00,67
2022-09-12,00:15:15,68
2022-09-12,00:15:30,68
2022-09-12,00:15:45,68
2022-09-12,00:16:00,68
2022-09-12,00:16:15,65
2022-09-12,00:16:30,65
2022-09-12,00:16:45,65
2022-09-12,00:17:00,65
2022-09-12,00:17:15,61
2022-09-12,00:17:30,61
2022-09-12,00:17:45,61
2022-09-12,00:18:00,61
2022-09-12,00:18:15,65
2022-09-12,00:18:30,65
2022-09-12,00:18:45,65
2022-09-12,00:19:00,65
2022-09-12,00:19:15,61
2022-09-12,00:19:30,61
2022-09-12,00:19:45,61
2022-09-12,00:20:00,61
2022-09-12,00:20:15,63
2022-09-12,00:20:30,63
2022-09-12,00:20:45,63
2022-09-12,00:21:00,63
2022-09-12,00:21:15,63
2022-09-12,00:21:30,63
2022-09-12,00:21:45,63
2022-09-12,00:22:00,63
2022-09-12,00:22:15,62
2022-09-12,00:22:30,62
2022-09-12,00:22:45,62
2022-09-12,00:23:00,62
2022-09-12,00:23:15,60
2022-09-12,00:23:30,60
2022-09-12,00:23:45,60
2022-09-12,00:24:00,60
2022-09-12,00:24:15,61
2022-09-12,00:24:30,61
2022-09-12,00:24:45,61
2022-09-12,00:25:00,61
2022-09-12,00:25:15,62
2022-09-12,00:25:30,62
2022-09-12,00:25:45,62
2022-09-12,00:26:00,62
2022-09-12,00:26:15,60
2022-09-12,00:26:30,60
2022-09-12,00:26:45,60
2022-09-12,00:27:00,60
2022-09-12,00:27:15,60
2022-09-12,00:27:30,60
2022-09-12,00:27:45,60
2022-09-12,00:28:00,60
2022-09-12,00:28:15,62
2022-09-12,00:28:30,62
2022-09-12,00:28:45,62
2022-09-12,00:29:00,62
2022-09-12,00:29:15,61
2022-09-12,00:29:30,61
2022-09-12,00:29:45,61
2022-09-12,00:30:00,61
2022-09-12,00:30:15,62
2022-09-12,00:30:30,62
2022-09-12,00:30:45,62
2022-09-12,00:31:00,62
2022-09-12,00:31:15,63
2022-09-12,00:31:30,63
2022-09-12,00:31:45,63
2022-09-12,00:32:00,63
2022-09-12,00:32:15,63
2022-09-12,00:32:30,63
2022-09-12,00:32:45,63
2022-09-12,00:33:00,63
2022-09-12,00:33:15,62
2022-09-12,00:33:30,62
2022-09-12,00:33:45,62
2022-09-12,00:34:00,62
2022-09-12,00:34:15,61
2022-09-12,00:34:30,61
2022-09-12,00:34:45,61
2022-09-12,00:35:00,61
2022-09-12,00:35:15,63
2022-09-12,00:35:30,63
2022-09-12,00:35:45,63
2022-09-12,00:36:00,63
2022-09-12,00:36:15,60
2022-09-12,00:36:30,60
2022-09-12,00:36:45,60
2022-09-12,00:37:00,60
2022-09-12,00:37:15,60
2022-09-12,00:37:30,60
2022-09-12,00:37:45,60
2022-09-12,00:38:00,60
2022-09-12,00:38:15,61
2022-09-12,00:38:30,61
2022-09-12,00:38:45,61
2022-09-12,00:39:00,61
2022-09-12,00:39:15,60
2022-09-12,00:39:30,60
2022-09-12,00:39:45,60
2022-09-12,00:40:00,60
2022-09-12,00:40:15,63
2022-09-12,00:40:30,63
2022-09-12,00:40:45,63
2022-09-12,00:41:00,63
2022-09-12,00:41:15,62
2022-09-12,00:41:30,62
2022-09-12,00:41:45,62
2022-09-12,00:42:00,62
2022-09-12,00:42:15,62
2022-09-12,00:42:30,62
2022-09-12,00:42:45,62
2022-09-12,00:43:00,62
2022-09-12,00:43:15,62
2022-09-12,00:43:30,62
2022-09-12,00:43:45,62
2022-09-12,00:44:00,62
2022-09-12,00:44:15,62
2022-09-12,00:44:30,62
2022-09-12,00:44:45,62
2022-09-12,00:45:00,62
2022-09-12,00:45:15,64
2022-09-12,00:45:30,64
2022-09-12,00:45:45,64
2022-09-12,00:46:00,64
2022-09-12,00:46:15,64
2022-09-12,00:46:30,64
2022-09-12,00:46:45,64
2022-09-12,00:47:00,64
2022-09-12,00:47:15,63
2022-09-12,00:47:30,63
2022-09-12,00:47:45,63
2022-09-12,00:48:00,63
2022-09-12,00:48:15,64
2022-09-12,00:48:30,64
2022-09-12,00:48:45,64
2022-09-12,00:49:00,64
2022-09-12,00:49:15,63
2022-09-12,00:49:30,63
2022-09-12,00:49:45,63
2022-09-12,00:50:00,63
2022-09-12,00:50:15,63
2022-09-12,00:50:30,63
2022-09-12,00:50:45,63
2022-09-12,00:51:00,63
2022-09-12,00:51:15,63
2022-09-12,00:51:30,63
2022-09-12,00:51:45,63
2022-09-12,00:52:00,63
2022-09-12,00:52:15,64
2022-09-12,00:52:30,64
2022-09-12,00:52:45,64
2022-09-12,00:53:00,64
2022-09-12,00:53:15,63
2022-09-12,00:53:30,63
2022-09-12,00:53:45,63
2022-09-12,00:54:00,63
2022-09-12,00:54:15,60
2022-09-12,00:54:30,60
2022-09-12,00:54:45,60
2022-09-12,00:55:00,60
2022-09-12,00:55:15,61
2022-09-12,00:55:30,61
2022-09-12,00:55:45,61
2022-09-12,00:56:00,61
2022-09-12,00:56:15,60
2022-09-12,00:56:30,60
2022-09-12,00:56:45,60
2022-09-12,00:57:00,60
2022-09-12,00:57:15,61
2022-09-12,00:57:30,61
2022-09-12,00:57:45,61
2022-09-12,00:58:00,61
2022-09-12,00:58:15,61
2022-09-12,00:58:30,61
2022-09-12,00:58:45,61
2022-09-12,00:59:00,61
2022-09-12,00:59:15,60
2022-09-12,00:59:30,60
2022-09-12,00:59:45,60
2022-09-12,01:00:00,60
2022-09-12,01:00:15,60
2022-09-12,01:00:30,60
2022-09-12,01:00:45,60
2022-09-12,01:01:00,60
2022-09-12,01:01:15,61
2022-09-12,01:01:30,61
2022-09-12,01:01:45,61
2022-09-12,01:02:00,61
2022-09-12,01:02:15,61
2022-09-12,01:02:30,61
2022-09-12,01:02:45,61
2022-09-12,01:03:00,61
2022-09-12,01:03:15,60
2022-09-12,01:03:30,60
2022-09-12,01:03:45,60
2022-09-12,01:04:00,60
2022-09-12,01:04:15,60
2022-09-12,01:04:30,60
2022-09-12,01:04:45,60
2022-09-12,01:05:00,60
2022-09-12,01:05:15,62
2022-09-12,01:05:30,62
2022-09-12,01:05:45,62
2022-09-12,01:06:00,62
2022-09-12,01:06:15,61
2022-09-12,01:06:30,61
2022-09-12,01:06:45,61
2022-09-12,01:07:00,61
2022-09-12,01:07:15,59
2022-09-12,01:07:30,59
2022-09-12,01:07:45,59
2022-09-12,01:08:00,59
2022-09-12,01:08:15,59
2022-09-12,01:08:30,59
2022-09-12,01:08:45,59
2022-09-12,01:09:00,59
2022-09-12,01:09:15,60
2022-09-12,01:09:30,60
2022-09-12,01:09:45,60
2022-09-12,01:10:00,60
2022-09-12,01:10:15,60
2022-09-12,01:10:30,60
2022-09-12,01:10:45,60
2022-09-12,01:11:00,60
2022-09-12,01:11:15,58
2022-09-12,01:11:30,58
2022-09-12,01:11:45,58
2022-09-12,01:12:00,58
2022-09-12,01:12:15,60
2022-09-12,01:12:30,60
2022-09-12,01:12:45,60
2022-09-12,01:13:00,60
2022-09-12,01:13:15,62
2022-09-12,01:13:30,62
2022-09-12,01:13:45,62
2022-09-12,01:14:00,62
2022-09-12,01:14:15,61
2022-09-12,01:14:30,61
2022-09-12,01:14:45,61
2022-09-12,01:15:00,61
2022-09-12,01:15:15,63
2022-09-12,01:15:30,63
2022-09-12,01:15:45,63
2022-09-12,01:16:00,63
2022-09-12,01:16:15,62
2022-09-12,01:16:30,62
2022-09-12,01:16:45,62
2022-09-12,01:17:00,62
2022-09-12,01:17:15,61
2022-09-12,01:17:30,61
2022-09-12,01:17:45,61
2022-09-12,01:18:00,61
2022-09-12,01:18:15,63
2022-09-12,01:18:30,63
2022-09-12,01:18:45,63
2022-09-12,01:19:00,63
2022-09-12,01:19:15,61
2022-09-12,01:19:30,61
2022-09-12,01:19:45,61
2022-09-12,01:20:00,61
