日付,陽性者数（日別）,陽性者数（累計）　,入院中等,中等・軽症,重症,死亡（累計）,"治癒確認（退院など）
（累計）"
2020/2/14,0,0,0,0,0,0,0
2020/2/15,0,0,0,0,0,0,0
2020/2/16,0,0,0,0,0,0,0
2020/2/17,0,0,0,0,0,0,0
2020/2/18,0,0,0,0,0,0,0
2020/2/19,0,0,0,0,0,0,0
2020/2/20,0,0,0,0,0,0,0
2020/2/21,0,0,0,0,0,0,0
2020/2/22,0,0,0,0,0,0,0
2020/2/23,0,0,0,0,0,0,0
2020/2/24,0,0,0,0,0,0,0
2020/2/25,0,0,0,0,0,0,0
2020/2/26,0,0,0,0,0,0,0
2020/2/27,0,0,0,0,0,0,0
2020/2/28,0,0,0,0,0,0,0
2020/2/29,0,0,0,0,0,0,0
2020/3/1,0,0,0,0,0,0,0
2020/3/2,0,0,0,0,0,0,0
2020/3/3,2,2,0,0,0,0,0
2020/3/4,0,2,0,0,0,0,0
2020/3/5,0,2,0,0,0,0,0
2020/3/6,0,2,0,0,0,0,0
2020/3/7,0,2,0,0,0,0,0
2020/3/8,0,2,0,0,0,0,0
2020/3/9,2,4,0,0,0,0,0
2020/3/10,2,6,0,0,0,0,0
2020/3/11,4,10,0,0,0,0,0
2020/3/12,4,14,0,0,0,0,0
2020/3/13,2,16,0,0,0,0,0
2020/3/14,4,20,0,0,0,0,0
2020/3/15,1,21,0,0,0,0,1
2020/3/16,2,23,0,0,0,0,1
2020/3/17,1,24,0,0,0,0,2
2020/3/18,0,24,0,0,0,0,3
2020/3/19,0,24,0,0,0,0,4
2020/3/20,0,24,0,0,0,0,6
2020/3/21,0,24,0,0,0,0,6
2020/3/22,0,24,0,0,0,0,6
2020/3/23,0,24,0,0,0,0,6
2020/3/24,0,24,16,14,2,0,7
2020/3/25,0,24,12,10,2,0,11
2020/3/26,1,25,12,10,2,0,12
2020/3/27,1,26,11,10,1,0,14
2020/3/28,5,31,15,14,1,0,15
2020/3/29,0,31,13,12,1,0,17
2020/3/30,0,31,13,12,1,0,17
2020/3/31,2,33,15,13,2,0,17
2020/4/1,1,34,13,11,2,0,19
2020/4/2,3,37,16,14,2,0,19
2020/4/3,2,39,17,15,2,0,20
2020/4/4,4,43,19,17,2,0,22
2020/4/5,8,51,27,24,3,0,22
2020/4/6,5,56,32,28,4,0,22
2020/4/7,12,68,41,37,4,0,22
2020/4/8,10,78,49,45,4,0,23
2020/4/9,13,91,59,55,4,0,25
2020/4/10,8,99,68,63,5,0,25
2020/4/11,21,120,88,84,4,0,26
2020/4/12,7,127,94,90,4,1,26
2020/4/13,8,135,101,94,7,1,27
2020/4/14,7,142,102,96,6,2,32
2020/4/15,13,155,115,109,6,2,32
