年月日,平均気温(℃),最高気温(℃),最低気温(℃),降水量の合計(mm),降水量の合計(mm),日照時間(時間),日照時間(時間),平均風速(m/s),最大風速(m/s),最大風向,最大瞬間風速(m/s),最大瞬間風向,最多風向(16方位),平均湿度(％),平均現地気圧(hPa),天気概況(昼：06時～18時),天気概況(夜：18時～翌日06時)
2023/8/1,30.2,33.8,28.2,0,0,12.3,0,3.3,7.6,南西,11.5,南西,西南西,68,1009.2,晴,晴一時曇
2023/8/2,30,33.5,27.6,0,1,12.1,0,3,6.2,南西,11.8,南西,南西,67,1008.1,晴後一時曇,晴時々曇
2023/8/3,29.7,33.1,27.5,0,1,10.7,0,3.5,7.4,西南西,11.7,南西,西南西,68,1006.8,晴,晴時々曇
2023/8/4,29.9,33.6,28.1,0,1,11.9,0,3.4,8.4,南西,11.8,南西,西南西,71,1004.4,晴,晴
2023/8/5,30.6,36,27.8,0,1,13.2,0,3.5,8.4,南西,13,南西,西南西,70,1000,晴,晴一時曇、雷を伴う
2023/8/6,31.5,37,27.5,2,0,10.9,0,5.7,9.2,東北東,12.4,東北東,東北東,66,996.5,晴,曇後晴時々雨
2023/8/7,29.9,34.2,27,0.5,0,1.6,0,7.1,10.1,東北東,12.3,東北東,東北東,70,998.4,曇時々雨,曇後時々晴一時雨
2023/8/8,31.1,35.4,28.3,0,0,6.6,0,8.2,10.6,東,12.5,東北東,東北東,67,1000.7,晴後時々曇,晴一時雨
2023/8/9,30.7,36.7,28.5,3,0,5.9,0,6.1,9.5,東北東,12.1,北東,東北東,71,1002.7,晴後曇一時雨,曇時々雨一時晴
2023/8/10,31.4,35.1,28.8,0,1,10.5,0,6.9,9.4,東南東,12.5,東南東,東北東,64,1002.4,晴一時曇,晴一時曇
2023/8/11,30.3,34.7,27.8,0,1,11.4,0,5,8.4,北東,11.6,南西,南西,67,1002.5,晴一時曇,晴
2023/8/12,30.9,35.1,27.4,0,1,12.8,0,3.4,6.6,東北東,9.5,南南西,南南西,63,1000.3,晴,晴
2023/8/13,31.5,36.8,27.8,2,0,9.1,0,3.4,9.2,東南東,12.2,東,東北東,60,999.1,晴後雨時々曇、雷を伴う,曇時々雨、雷を伴う
2023/8/14,30.3,33.4,27.6,4,0,0.5,0,5.3,14.7,北北西,20,北北西,北北東,67,996.6,曇時々雨,雨時々曇、大風を伴う
2023/8/15,26.7,30,25.2,115,0,0,0,11.8,22.5,北北東,35.7,北北東,北北東,88,988.8,暴風雨,雨後時々曇
2023/8/16,28.8,31.4,26.7,0.5,0,7.1,0,4.6,6.8,南西,10.7,南西,南西,82,1000.1,曇一時雨後晴,曇時々晴後雨、雷を伴う
2023/8/17,27.6,28.7,26.5,1.5,0,0,0,2.1,4.8,西南西,6.9,西南西,西南西,83,1003.6,雨時々曇,曇時々晴後雨
2023/8/18,28.5,32.6,25,5,0,2.3,0,3.3,6.4,東北東,7.5,東北東,西南西,78,1006.4,曇一時雨,曇時々晴
2023/8/19,29.6,33.2,27.7,0,1,9.5,0,2.7,5.7,南西,8.6,南西,南西,77,1008.4,晴時々曇,晴
2023/8/20,30.3,36.2,27.5,0,0,12.2,0,2.8,7.5,南西,10.8,南南西,南西,78,1008.1,晴、雷を伴う,曇一時雨後晴、雷を伴う
2023/8/21,30.2,36.2,27.8,0,0,8.9,0,2.6,7.5,南西,10.9,南南西,南西,77,1006.7,晴時々曇、雷を伴う,曇後時々晴、雷を伴う
