計上日,メニュー名,中分類名,組価,供給実績数,最終供給時間
2022-07-01,温玉ねぎとろ丼Ｓ,＊ライスＦＦ,407,11,16:14
2022-07-01,冷やし山かけうどん,＊麺類,341,56,14:32
2022-07-01,冷やしそば,＊麺類,297,13,14:13
2022-07-01,冷やしうどん,＊麺類,297,52,14:30
2022-07-01,かけそば,＊麺類,209,4,14:21
2022-07-01,かけうどん,＊麺類,209,9,14:11
2022-07-01,カレーライスＳ,＊ライスＦＦ,253,5,18:24
2022-07-01,カレーライスＭ,＊ライスＦＦ,308,21,19:32
2022-07-01,カレーライスＬ,＊ライスＦＦ,363,5,18:36
2022-07-01,ロースカツカレーＳ,＊ライスＦＦ,352,3,17:37
2022-07-01,鶏きも煮,＊副菜,88,69,19:24
2022-07-01,油淋鶏弁当,＊内製弁当,500,23,12:30
2022-07-01,鯖塩焼き,＊主菜,176,57,19:32
2022-07-01,ホイコーロー,＊主菜,264,157,19:17
2022-07-01,冷やし山かけそば,＊麺類,341,28,14:20
2022-07-01,冷やし担々麺,＊麺類,473,60,14:03
2022-07-01,きつねうどん,＊麺類,297,4,13:34
2022-07-01,Ｅ蒸し鶏和風ごまソース,＊主菜,308,64,19:32
2022-07-01,ロースカツカレーＬ,＊ライスＦＦ,462,11,19:05
2022-07-01,Ｅチキンカツレモンマヨ,＊主菜,220,132,19:31
2022-07-01,Ｅポークミンチカツ,＊主菜,220,76,19:21
2022-07-01,かき玉汁,＊汁・スープ,33,219,19:32
2022-07-01,うどん　大　６２,＊麺類,62,46,14:32
2022-07-01,そば　大,＊麺類,62,19,14:21
2022-07-01,Ｔとんかつ玉子あんかけ弁当,＊内製弁当,450,18,12:49
2022-07-01,Ｔ唐揚げきのこのこのこ弁当,＊内製弁当,450,22,12:48
2022-07-01,Ｔオムレツ＆ハンバーグ弁当,＊内製弁当,400,9,13:04
2022-07-01,ウインナーと野菜のポトフ,＊主菜,176,142,15:08
2022-07-01,チキンフリッター,＊副菜,130,316,19:32
2022-07-01,温泉玉子,＊副菜,44,40,19:32
2022-07-01,トッピング温泉玉子,＊副菜,44,15,19:16
2022-07-01,チゲ豆腐,＊主菜,264,162,18:54
2022-07-01,鯖生姜煮,＊主菜,176,76,19:24
2022-07-01,Ｅハンバーグおろしソース,＊主菜,220,143,19:28
2022-07-01,牛肉コロッケ,＊副菜,110,87,19:32
2022-07-01,ライスＳ,＊ライス単品,94,339,19:31
2022-07-01,ライスＳＳ,＊ライス単品,73,176,19:32
2022-07-01,フルーツヨーグルト,＊ドリンク・デザート,110,99,19:10
2022-07-01,焼きプリンタルト,＊ドリンク・デザート,66,35,19:29
2022-07-01,牛乳,＊ドリンク・デザート,85,9,18:24
2022-07-01,大学芋,＊ドリンク・デザート,88,88,19:17
2022-07-01,ライスＭ,＊ライス単品,115,282,19:32
2022-07-01,大学生協コーヒー,＊ドリンク・デザート,95,27,19:24
2022-07-01,味噌カツ丼Ｌ,＊ライスＦＦ,462,14,19:08
2022-07-01,味噌カツ丼Ｍ,＊ライスＦＦ,407,59,19:31
2022-07-01,味噌カツ丼Ｓ,＊ライスＦＦ,352,4,18:39
2022-07-01,温玉ねぎとろ丼Ｌ,＊ライスＦＦ,517,30,18:33
2022-07-01,豚汁,＊汁・スープ,110,14,19:21
2022-07-01,温玉ねぎとろ丼Ｍ,＊ライスＦＦ,462,46,19:10
2022-07-01,紅茶のシフォン,＊ドリンク・デザート,220,25,18:48
2022-07-01,ライスＬ,＊ライス単品,136,78,19:32
2022-07-01,蒸し鶏サラダ,＊副菜,110,10,19:18
2022-07-01,がんもどき,＊副菜,66,19,14:00
2022-07-01,ライスＬＬ,＊ライス単品,198,13,19:17
2022-07-01,マカロニサラダ,＊副菜,66,99,19:31
2022-07-01,ほうれん草胡麻和え,＊副菜,66,160,19:21
2022-07-01,スパイスチキンサラダ,＊副菜,110,82,19:19
2022-07-01,巣ごもり玉子,＊副菜,88,168,19:32
2022-07-01,だし巻き,＊副菜,66,104,19:28
2022-07-01,冷奴,＊副菜,44,67,17:33
