年月,平均気温(℃),最高気温(℃),最低気温(℃),日降水量の最大(mm),平均蒸気圧(hPa),平均湿度(％)
2007年9月,27.3,34.8,17.5,6,24.7,68
2007年10月,20.3,27.9,10.3,34,15.1,63
2007年11月,14,22,5.1,9.5,9.5,59
2007年12月,9.7,15.7,2.2,30,7.5,62
2008年1月,6,13.6,0.6,12.5,6.2,66
2008年2月,4.9,12.9,-1.2,22,5.4,63
2008年3月,10.6,18.8,2.3,21,8,62
2008年4月,15.1,24.3,5.8,27,10.8,63
2008年5月,19.6,29.5,10.5,41,14.5,64
2008年6月,22.9,28.1,16.2,29,20.1,72
2008年7月,28,34.6,20.7,35,27.7,73
2008年8月,28.3,34.7,21.3,33.5,27.4,71
2008年9月,25.1,32.7,15,47,22.4,70
2008年10月,20.1,26.5,12.9,21.5,15.9,67
2008年11月,13.7,22.4,2.5,16.5,10.3,64
2008年12月,9.5,18.3,0.6,38,7.9,65
2009年1月,6.7,16.1,0.6,19,6.4,64
2009年2月,8.1,18.9,0.6,28,7.3,66
2009年3月,10,20.6,2.8,35,7.7,61
2009年4月,15.3,26.1,5.3,29,10.4,60
2009年5月,19.7,28.2,11.9,25.5,15.2,66
2009年6月,23.6,30.8,16.5,26.5,20.7,71
2009年7月,26.6,33.1,20.3,69,27.7,80
2009年8月,27.9,35.1,20.8,32,26.7,71
2009年9月,24.9,32.9,18.4,18.5,19.8,63
2009年10月,19.7,27.9,13.9,36.5,14.7,64
2009年11月,14.1,24,6.7,57.5,11.3,68
2009年12月,8.9,18.2,0.4,13,7.4,63
2010年1月,6.1,15.2,-0.9,33,6.1,63
2010年2月,8.1,20.4,0.3,71,7.7,67
2010年3月,9.8,20.7,1.6,29,8.5,69
2010年4月,13.5,22.9,5.5,57.5,10.2,64
2010年5月,18.6,28.4,10.4,65.5,14.6,68
2010年6月,23.6,31.7,17.2,105.5,21.5,73
2010年7月,27.3,35.5,21.3,67.5,28.1,78
2010年8月,29.8,36.3,25.5,27,30.3,73
2010年9月,26.6,35,17.3,33.5,24.1,68
2010年10月,20.5,28.5,9,29.5,16.1,66
2010年11月,13.6,21.3,6.8,15,9.8,62
2010年12月,9,20.7,1.6,13,7.5,63
2011年1月,4.2,10.3,-3.2,2.5,4.8,59
2011年2月,7.5,18.1,0.2,39,6.7,64
2011年3月,8,19.3,0.3,24,6.8,62
2011年4月,13.7,21.4,5,39.5,10.1,63
2011年5月,19.5,25.4,13.1,84.5,15.9,70
2011年6月,23.6,34,16.8,39.5,23.5,80
2011年7月,27.4,35.8,22.1,49,28,77
2011年8月,28.8,35.2,23.1,45,28.7,73
2011年9月,25.4,34.3,16,124.5,23.9,73
2011年10月,19.9,26.7,11.1,72,15.4,66
2011年11月,15.7,25.4,6.4,65,11.7,63
2011年12月,8.2,17.9,0.8,4,6.5,58
2012年1月,5.7,12.1,-1,18,5.4,58
2012年2月,5.2,13.7,-2.4,19,5.5,60
2012年3月,9.1,18.2,1.3,24,7.4,62
2012年4月,15.2,26.2,3.6,64,10.9,62
2012年5月,19.4,26.7,9.6,9,13.7,61
2012年6月,23,29.2,18.6,58,19.2,69
2012年7月,27.2,36.9,20.9,58,26.5,74
2012年8月,29.3,36.7,24,32,26.6,66
2012年9月,26.2,34.3,18.3,38,22.6,66
2012年10月,19.8,28,11.4,42.5,13.5,58
2012年11月,12.7,20.4,4.6,54,8.8,60
2012年12月,6.8,14.8,0.1,32,6.3,62
2013年1月,5.3,12.4,-0.8,20,5.3,59
2013年2月,5.9,17.1,-0.2,24.5,5.8,61
2013年3月,10.8,20.1,1.4,20.5,7.6,56
2013年4月,14.1,23.8,5.4,28.5,9.5,58
2013年5月,19.5,29.1,8.7,41.5,13.9,61
2013年6月,24,36.3,18.7,80,20.4,69
2013年7月,27.7,34.8,22.6,16,27.1,73
2013年8月,29.4,37.2,23,100.5,27.9,69
2013年9月,25.3,32.9,16.9,97.5,21,65
2013年10月,21.2,31.9,12.6,80.5,16.5,64
2013年11月,13.2,21.5,4.3,19,9.4,60
2013年12月,8,15.6,1.1,26,6.5,60
2014年1月,6.2,13.9,0.4,20,5.8,60
2014年2月,6.1,15.8,-0.2,14.5,6.1,62
2014年3月,10,20,0.7,54,8,62
2014年4月,14.6,24,4.7,45.5,9.4,56
2014年5月,19.5,30.2,11.2,29,14.1,62
2014年6月,23.8,31.5,19.1,16,19.8,68
2014年7月,27.3,35.6,20.8,19,25.9,72
2014年8月,27.4,33,21,125.5,27.5,75
2014年9月,24.4,31.1,18.1,51.5,18.6,61
2014年10月,19.9,27,10.4,68,14.5,62
2014年11月,14.7,22,7.1,19.5,10.3,60
2014年12月,6.9,18.2,-0.4,24,6,59
2015年1月,6.3,15.1,0.1,26,6.1,63
2015年2月,6.8,15.8,-0.9,11.5,6.1,60
2015年3月,10.2,21.3,0,38,7.9,61
2015年4月,16,24.3,5.8,30,12,65
2015年5月,21.1,30.9,12.1,52.5,15,60
